en_label,ja_label,category_en,category_ja,en_description,ja_description,qid
Renpenning syndrome,レンペニング症候群,rare disease,希少疾患,"intellectual disability that is characterized by small head size (microcephaly), long narrow face, short stature, small testes, and intellectual deficit which follows X-linked inheritance and presents most often in males",,Q7313459
reticular dysgenesis,細網異形成症,rare disease,希少疾患,Human disease,,Q7316718
restrictive dermopathy,拘束性皮膚障害,rare disease,希少疾患,human disease,,Q7316329
primary immunodeficiency disease,原発性免疫不全症候群,rare disease,希少疾患,immune system disease that results when one or more essential parts of the immune system is missing or not working properly at birth due to a genetic mutation,,Q3043160
Chronic Thromboembolic Pulmonary Hypertension,慢性血栓塞栓性肺高血圧症,rare disease,希少疾患,medical condition,,Q1958249
Gorham's disease,ゴーハム病,rare disease,希少疾患,syndrome that is characterized by bone loss (osteolysis) which is often associated with swelling or abnormal blood vessel growth (angiomatous proliferation). Bone loss can occur in just one bone or spread to soft tissue and adjacent bones,原因は不明で血管の異常が関与しているとされている骨が消失する疾患のこと,Q1538277
IgA glomerulonephritis,IgA腎症,rare disease,希少疾患,disease of the kidney,,Q1146454
POEMS syndrome,クロウ・深瀬症候群,rare disease,希少疾患,paraneoplastic syndrome,,Q2553422
Klippel–Trénaunay–Weber syndrome,クリッペル・トレノネー症候群,rare disease,希少疾患,syndrome that is characterized by large cutaneous hemangiomata with hypertrophy of the related bones and soft tissues,,Q1774750
interstitial cystitis,間質性膀胱炎,rare disease,希少疾患,type of medical condition,,Q1671412
lipodystrophy,リポジストロフィー,rare disease,希少疾患,group of genetic or acquired disorders in which the body is unable to produce and maintain healthy fat tissue,,Q1538213
neurofibromatosis type II,神経線維腫症2型,rare disease,希少疾患,type of neurofibromatosis disease,,Q1935832
periodic paralysis,周期性四肢麻痺,rare disease,希少疾患,human disease,,Q1788314
rapidly progressive glomerulonephritis,急速進行性糸球体腎炎,rare disease,希少疾患,human disease,,Q1509367
microscopic polyangiitis,顕微鏡的多発血管炎,rare disease,希少疾患,"inflammatory, necrotizing, systemic vasculitis that affects predominantly small vessels in multiple organs",,Q1934069
eosinophilic esophagitis,好酸球性食道炎,rare disease,希少疾患,esophagitis characterized by inflammation involving eosinophils located in esophagus,,Q2057356
toxic epidermal necrolysis,中毒性表皮壊死症,rare disease,希少疾患,Severe skin reaction,全身の皮膚表皮が真皮と分離して重篤な感染症を招く皮膚障害。スティーブンス・ジョンソン症候群(SJS)と連続した概念。,Q1878682
muscular dystrophy,筋ジストロフィー,rare disease,希少疾患,diseases that weaken the body's muscles,肉の筋線維の壊死と難再生を原因とした進行性の筋力低下を特徴とする遺伝性疾患に対する総称,Q1137767
Ehlers-Danlos syndrome,エーラス・ダンロス症候群,rare disease,希少疾患,group of genetic connective tissue disorders,コラーゲン線維形成機構の異常を原因とする症候群,Q1141499
Alport syndrome,アルポート症候群,rare disease,希少疾患,"monogenic disease characterized by glomerulonephritis, endstage kidney disease, and hearing loss",,Q1331116
persistent truncus arteriosus,総動脈幹症,rare disease,希少疾患,congenital heart defect in humans,,Q3055156
cryopyrin-associated periodic syndrome,クリオピリン関連周期熱症候群,rare disease,希少疾患,group of rare autosomal dominant diseases,,Q1771331
multiple system atrophy,多系統萎縮症,rare disease,希少疾患,"neurodegenerative disorder characterized by autonomic failure, parkinsonism, cerebellar impairment and corticospinal signs, with a median survival of 6-9 years",,Q1541975
spinocerebellar ataxia type 2,脊髄小脳変性症2型,rare disease,希少疾患,"Spinocerebellar ataxia type 2 (SCA2) is a subtype of type I autosomal dominant cerebellar ataxia (ADCA type I; see this term) characterized by truncal ataxia, dysarthria, slowed saccades and less commonly ophthalmoparesis and chorea",,Q22443082
spinocerebellar ataxia type 31,脊髄小脳変性症31型,rare disease,希少疾患,Human disease,,Q22443995
tritanopia,3型2色覚,rare disease,希少疾患,"human disease, blue color blindness",,Q18554140
rhizome,根茎,anatomical structure,解剖学的構造,underground stem in which various plants asexually reproduce via budding.,,Q184208
Cro-Magnon 1,クロマニョン1,anatomical structure,解剖学的構造,"30,000 year old Cro-Magnon specimen",,Q5187008
Liujiang man,柳江人,anatomical structure,解剖学的構造,hominin fossil,東アジアで化石が発見された現生人類,Q1866136
raceme,総状花序,anatomical structure,解剖学的構造,"unbranched, indeterminate type of inflorescence bearing pedicellate flowers along its axis",無限花序の一つ,Q158583
Gibraltar 1,ジブラルタル1,anatomical structure,解剖学的構造,Neanderthal skull found at Forbes' Quarry in Gibraltar,,Q5559119
abomasum,ギアラ,anatomical structure,解剖学的構造,fourth and final stomach compartment in ruminants,食肉としての、牛の第四胃,Q27004
rumen,ミノ,anatomical structure,解剖学的構造,first compartment of ruminant stomachs,食肉としての、牛の第一胃,Q427652
Lilium,ユリ属,anatomical structure,解剖学的構造,genus of plants,ユリ目ユリ科の植物,Q5194627
sunflower seed,向日葵の種,anatomical structure,解剖学的構造,fruit of the sunflower (Helianthus annuus),,Q1076906
buttocks,尻,anatomical structure,解剖学的構造,"two rounded portions of the anatomy, traditionally located on the posterior of various organisms",臀部,Q42165
oak apple,没食子,anatomical structure,解剖学的構造,"gall on oak leaves, caused by larvae of gall wasp (Cynipidae), especially Cynips quercusfolii",,Q1492220
sorus,胞子嚢群,anatomical structure,解剖学的構造,cluster of sporangia in ferns and fungi.,,Q1358407
frond,羽葉,anatomical structure,解剖学的構造,collection of leaflets on a plant,シダ類に見られる特徴的な葉,Q2333821
Taung Child,タウング・チャイルド,anatomical structure,解剖学的構造,fossil skull,,Q762810
default mode network,デフォルト・モード・ネットワーク,anatomical structure,解剖学的構造,"large-scale brain network, active when one is not focused on the outside world and the brain is at wakeful rest (e.g. daydreaming), and also while thinking about others, thinking about oneself, remembering the past, and planning for the future",,Q1182555
lily,百合,anatomical structure,解剖学的構造,popular flower,ポピュラーな花,Q40458125
aerenchyma,通気組織,anatomical structure,解剖学的構造,spongy tissue that forms spaces or air channels in plants,,Q2333565
holdfast,付着器,anatomical structure,解剖学的構造,"root-like structure that anchors aquatic sessile organisms, such as seaweed",,Q16505822
karasutonbi,カラストンビ,anatomical structure,解剖学的構造,beak of squid or octopus,,Q11294915
Carthami Flos,紅花,anatomical structure,解剖学的構造,Crude drug,,Q27657775
Nanohana,菜の花,anatomical structure,解剖学的構造,species of plant,アブラナ科アブラナ属の花の総称,Q16730268
peach pit,桃仁,anatomical structure,解剖学的構造,pit (or stone) from the fruit of Prunus persica,,Q27650233
reticulum,ハチノス,anatomical structure,解剖学的構造,second chamber in the four-chamber alimentary canal of a ruminant animal,食肉としての、牛の第二胃,Q767749
Gopher wood,ゴフェル,anatomical structure,解剖学的構造,Biblic hapax and variety of wood,,Q2657291
Adductor muscles,閉殻筋,anatomical structure,解剖学的構造,muscle in the interior of a bivalve mollusk which close the valves,二枚貝などの殻を持つ動物が殻を閉じるために用いる筋肉,Q4681415
Chinese chestnut,甘栗,anatomical structure,解剖学的構造,seed from Castanea mollissima,シナグリの実,Q104031801
Chilean Blob,チリブロブ,anatomical structure,解剖学的構造,whale carcass globster,,Q5098725
styloid process of temporal bone,側頭骨茎状突起,anatomical structure,解剖学的構造,part of the temporal bone,,Q4384275
Wheatberry,小麦粒,anatomical structure,解剖学的構造,whole kernel of wheat,,Q9207539
egusi,エグシ,anatomical structure,解剖学的構造,type of seed commonly found in West African cuisine,一部のウリ科の植物の種子,Q10771593
frontoparietal network,前頭頭頂ネットワーク,anatomical structure,解剖学的構造,large scale brain network involved in sustained attention,,Q97193794
omasum,センマイ,anatomical structure,解剖学的構造,third of the four stomach compartments in ruminants,食肉としての、牛の第三胃,Q846746
tubal tonsil,耳管扁桃,anatomical structure,解剖学的構造,tonsil by the Eustachian tube,,Q2442277
Oliver Cromwell's head,オリバー・クロムウェルの首,anatomical structure,解剖学的構造,"head of Oliver Cromwell after his corpse was dug up, hung in chains and beheaded",首,Q3012031
periderm,周皮,anatomical structure,解剖学的構造,outer tissue layer of a plant,,Q1390205
genital tubercle,生殖結節,anatomical structure,解剖学的構造,part of an embryo,,Q1502241
endomysium,筋内膜,anatomical structure,解剖学的構造,wispy layer of areolar connective tissue,,Q3395843
perimysium,筋周膜,anatomical structure,解剖学的構造,histological term,,Q3543470
crotch,股布,anatomical structure,解剖学的構造,"the bottom of the pelvis, the region of the body where the legs join the torso, and is often considered to include the groin and genitals",,Q17084917
arthropod leg,関節肢,anatomical structure,解剖学的構造,locomotory appendage of arthropods,節足動物の付属肢,Q3133438
salience network,覚醒ネットワーク,anatomical structure,解剖学的構造,"Large scale brain network of the human brain, composed of the anterior insula and dorsal anterior cingulate cortex, which is involved in detecting and filtering salient stimuli, as well as in recruiting relevant functional networks",,Q48997354
teff,テフ,anatomical structure,解剖学的構造,seed from Eragrostis tef,,Q103205493
Styloid process,茎状突起,anatomical structure,解剖学的構造,Wikimedia disambiguation page,ウィキメディアの曖昧さ回避ページ,Q2111626
paramesonephric duct,中腎傍管,anatomical structure,解剖学的構造,paired ducts in the embryo in the primitive urogenital structures,,Q491057
spike,穂状花序,anatomical structure,解剖学的構造,"unbranched, indeterminate inflorescence, similar to a raceme, but bearing sessile flowers (sessile flowers are attached directly, without stalks)",主軸が長く伸び、それに柄のない花が並んでいる花序,Q123786564
pyramidal tracts,錐体路,anatomical structure,解剖学的構造,include both the corticobulbar tract and the corticospinal tract,,Q968731
mastoid process,乳様突起,anatomical structure,解剖学的構造,,,Q845740
beef,牛肉,anatomical structure,解剖学的構造,meat from cattle,ウシの肉,Q192628
capitulum,頭状花序,anatomical structure,解剖学的構造,type of inflorescence,,Q932540
collenchyma,厚角細胞,anatomical structure,解剖学的構造,ground tissue in plants,,Q1144415
alar ligament,翼状靱帯,anatomical structure,解剖学的構造,ligaments connecting the skull to the second vertebra to regulate head movement,,Q941241
lamella,ひだ,anatomical structure,解剖学的構造,papery hymenophore rib under the cap of some mushroom species,キノコの部位,Q269345
insect leg,昆虫の脚,anatomical structure,解剖学的構造,limb,,Q762151
coracoid process,烏口突起,anatomical structure,解剖学的構造,,,Q905716
Ti plasmid,Tiプラスミド,anatomical structure,解剖学的構造,circular plasmid used in creation of transgenic plants,,Q179545
Mesoglea,間充ゲル,anatomical structure,解剖学的構造,substance found between the two epithelial cell layers in the bodies of coelenterates and sponges,,Q203646
medial collateral ligament of ankle,三角靱帯,anatomical structure,解剖学的構造,ligament of the ankle,,Q288821
pGLO,pGLO,anatomical structure,解剖学的構造,engineered plasmid,,Q726697
areolar glands,モントゴメリー腺,anatomical structure,解剖学的構造,sebaceous glands in the areola surrounding the nipple,,Q177744
ColE1,ColE1,anatomical structure,解剖学的構造,Plasmid,,Q5141800
ascus,子嚢,anatomical structure,解剖学的構造,sexual spore-bearing cell produced in ascomycete fungi,,Q723425
hoof,蹄,anatomical structure,解剖学的構造,"horn structure which surrounds the distal phalange in odd-toed ungulates (horses, donkeys and zebras)",,Q128007
nuchal ligament,項靭帯,anatomical structure,解剖学的構造,ligament at the back of the neck,,Q519216
epiblast,エピブラスト,anatomical structure,解剖学的構造,"Embryonic inner cell mass tissue that forms the embryo itself, through the three germ layers",,Q519516
foramen ovale,卵円孔,anatomical structure,解剖学的構造,in the fetal heart allows blood to enter the left atrium from the right atrium.,,Q767116
prosencephalon,前脳,anatomical structure,解剖学的構造,forward-most part of the brain,,Q507027
acromion,肩峰,anatomical structure,解剖学的構造,bony process on the scapula (shoulder blade),,Q615414
glycocalyx,グリコカリックス,anatomical structure,解剖学的構造,"viscous, carbohydrate rich layer at the outermost periphery of a cell",,Q898356
anterior longitudinal ligament,前縦靭帯,anatomical structure,解剖学的構造,ligament running down the front of the vertebral column,,Q669260
mammary alveolus,小葉腺胞,anatomical structure,解剖学的構造,milk sac in the mammary glands,,Q25091372
carboxyhemoglobin,カルボキシヘモグロビン,anatomical structure,解剖学的構造,complex of haemoglobin and carbon monoxide,,Q2259181
fruiting body,子実体,anatomical structure,解剖学的構造,fungal structure on which spore-producing structures are borne,,Q1132089
labia majora,大陰唇,anatomical structure,解剖学的構造,outer folds of the vulva,女性器の一部,Q1081574
bone marrow,骨髄,anatomical structure,解剖学的構造,cells and soft materials in the hollow space of long bones,,Q546523
Steinheim skull,シュタインハイム頭骨,anatomical structure,解剖学的構造,hominin fossil,,Q550393
oyster,チキンオイスター,anatomical structure,解剖学的構造,select cut of poultry,,Q1747334
heart as food,ハツ,anatomical structure,解剖学的構造,type of offal,食肉としての心臓,Q1409015
Eleidin,エレイディン,anatomical structure,解剖学的構造,,,Q3721324
respiratory center,呼吸中枢,anatomical structure,解剖学的構造,brain region controlling respiration,,Q7315911
optic cup,眼杯,anatomical structure,解剖学的構造,structure in embroyos that gives rise to the retina of the eye,,Q7098791
spheroplast,スフェロプラスト,anatomical structure,解剖学的構造,microbial cell from which the cell wall has been almost completely removed,,Q2630359
zygomatic process of temporal bone,側頭骨頬骨突起,anatomical structure,解剖学的構造,,,Q4918599
limb bud,肢芽,anatomical structure,解剖学的構造,structure formed early in vertebrate limb development.,,Q6548937
hepatopancreas,中腸腺,anatomical structure,解剖学的構造,"digestive gland of molluscs, arthropods and fishes",,Q384912
nose-leaf,鼻葉,anatomical structure,解剖学的構造,Lance-shaped or leaf-shaped nose found in some species of bats. It is thought to serve some role in modifying and directing the echolocation call.,,Q24068787
ampulla of semicircular canal,膨大部,anatomical structure,解剖学的構造,,,Q7107434
bifurcated ligament,二分靭帯,anatomical structure,解剖学的構造,strong band,,Q4904823
neural tube,神経管,anatomical structure,解剖学的構造,developmental precursor to the central nervous system,脊索動物の発生過程で出現する神経系の原基,Q1127402
respiratory tract,気道,anatomical structure,解剖学的構造,the part of the anatomy involved with the process of respiration,,Q13400765
periosteum,骨膜,anatomical structure,解剖学的構造,membrane that covers the outer surface of bones,,Q367423
perilymphatic duct,外リンパ管,anatomical structure,解剖学的構造,,,Q7168539
triceps surae,下腿三頭筋,anatomical structure,解剖学的構造,pair of muscles: gastrocnemius and the soleus,,Q431282
collateral ligaments of metatarsophalangeal articulations,中足趾節関節側副靭帯,anatomical structure,解剖学的構造,ligaments of the foot,,Q5145994
collateral ligaments of interphalangeal articulations of foot,足趾の側副靱帯,anatomical structure,解剖学的構造,ligaments of the foot,,Q5145993
Mrs. Ples,ミセス・プレス,anatomical structure,解剖学的構造,hominin fossil,,Q1187228
distal tubule,遠位尿細管,anatomical structure,解剖学的構造,anatomical structure,,Q27990955
scrotum,陰嚢,anatomical structure,解剖学的構造,anatomical male reproductive structure that consists of a suspended sack of skin,男性器において、精巣を内包する袋状の突出部　へのこ（男性外陰部の古語）,Q174471
medullary collecting duct,髄質集合管,anatomical structure,解剖学的構造,anatomical structure,,Q28015619
Dua's layer,デュア層,anatomical structure,解剖学的構造,layer of the human cornea,,Q13442166
filtration slit,濾過間隙,anatomical structure,解剖学的構造,part of glomerulus,,Q5449279
Pes (anatomy),ペス (解剖学),anatomical structure,解剖学的構造,,,Q7171309
tarsal bones,足根骨,anatomical structure,解剖学的構造,bones of the foot,,Q1059724
mycelium,菌糸体,anatomical structure,解剖学的構造,"the vegetative part of a fungus, consisting of a mass of branching, thread-like hyphae",,Q326228
ampulla of semicircular duct,膜膨大部,anatomical structure,解剖学的構造,,,Q11905393
dorsal intercuneiform ligaments,背側楔間靭帯,anatomical structure,解剖学的構造,ligaments of the foot,,Q5298785
dorsal metatarsal ligaments,背側中足靱帯,anatomical structure,解剖学的構造,ligaments of the foot,,Q5298792
pyloric part,幽門部,anatomical structure,解剖学的構造,,,Q33138851
interstitium,間質,anatomical structure,解剖学的構造,"contiguous fluid-filled space existing between the skin and the body organs, or, after 2018's discoveries, an organ",,Q51090914
myocardium of ventricle,心室の心筋,anatomical structure,解剖学的構造,Muscular layer of the cardiac ventricle composed of a compact myocardial layer surrounding the trabecular layer.,,Q30026228
left colon,左結腸,anatomical structure,解剖学的構造,The distal portion of the colon; it develops embryonically from the hindgut and functions in the storage and elimination of waste.,,Q30026943
rapeseed seed,菜種,anatomical structure,解剖学的構造,seed of Brassica napus,セイヨウアブラナの種子,Q110022244
mesenchyme,間葉,anatomical structure,解剖学的構造,type of connective tissue found mostly during the embryonic development of bilateral triploblast animals,,Q32838
star anise,八角,anatomical structure,解剖学的構造,"fruit derived from the Illicium verum or badiam plant, used as a spice",トウシキミから得られるスパイス,Q1760637
anterior sternoclavicular ligament,前胸鎖靭帯,anatomical structure,解剖学的構造,anatomy,,Q4771398
ovotestis,卵精巣,anatomical structure,解剖学的構造,gonad with both testicular and ovarian aspects,,Q484841
papillary duct,乳頭管,anatomical structure,解剖学的構造,part of the kidney collecting duct,,Q5311589
plantar cuboideonavicular ligament,底側立方舟靱帯,anatomical structure,解剖学的構造,that connects the cuboid with the navicular bone,,Q7201580
plantar metatarsal ligaments,底側中足靱帯,anatomical structure,解剖学的構造,Ligaments of the foot,,Q7201586
metencephalon,後脳,anatomical structure,解剖学的構造,Part of the embryonic brain,,Q1500793
supraspinous ligament,棘上靭帯,anatomical structure,解剖学的構造,Ligament of the spine,,Q1471133
bilaminar blastocyst,胚盤,anatomical structure,解剖学的構造,Embryonic cell structure,,Q4907543
hemosiderin,ヘモジデリン,anatomical structure,解剖学的構造,metalloprotein,,Q422203
rhombencephalon,菱脳,anatomical structure,解剖学的構造,part of the embryonic brain,,Q1137072
caruncle,肉阜,anatomical structure,解剖学的構造,"small, fleshy excrescence that is a normal part of an animal's anatomy",,Q5047481
volva,菌包,anatomical structure,解剖学的構造,mycological structure,,Q1541152
connecting stalk,付着茎,anatomical structure,解剖学的構造,embryonic structure,,Q5161678
cone of light,光錐,anatomical structure,解剖学的構造,part of eardrum or its phenomenon,,Q5159465
furcula,叉骨,anatomical structure,解剖学的構造,forked bone found in birds and other theropods,,Q5199010
back,背中,anatomical structure,解剖学的構造,body part,背の中央,Q133279
posterior longitudinal ligament,後縦靭帯,anatomical structure,解剖学的構造,"Bones of the vertebral column, and ligaments of the head and neck and torso",,Q1824647
ligament of head of femur,大腿骨頭の靭帯,anatomical structure,解剖学的構造,ligament located in the hip,,Q6545844
anterior tibiofibular ligament,前脛腓靭帯,anatomical structure,解剖学的構造,Ligament of the ankle,,Q4771413
corneal endothelium,角膜内皮,anatomical structure,解剖学的構造,a single layer of cells on the inner surface of the cornea,,Q1189806
Definitive urogenital sinus,尿生殖洞,anatomical structure,解剖学的構造,a part of the human body only present in the development of the urinary and reproductive organs,,Q5251638
tentacle,触手,anatomical structure,解剖学的構造,"varied organ found in many animals, especially cephalopods, and used for palpation and manipulation",,Q660059
lateral arcuate ligament,外側弓状靱帯,anatomical structure,解剖学的構造,torso ligament,,Q6495559
lateral collateral ligament of ankle joint,距腿関節の側副靭帯,anatomical structure,解剖学的構造,ligaments of the ankle,,Q6495571
anal gland,肛門腺,anatomical structure,解剖学的構造,glands found near the anus in many mammals,,Q484645
lateral patellar retinaculum,外側膝蓋支帯,anatomical structure,解剖学的構造,tissue on the outer side of the kneecap,,Q6495691
lower limb muscles,下肢の筋肉,anatomical structure,解剖学的構造,,,Q11784025
red yeast rice,紅麹,anatomical structure,解剖学的構造,type of fermented rice,ベニコウジカビ,Q1135788
ductus arteriosus,動脈管,anatomical structure,解剖学的構造,blood vessel connecting the pulmonary artery to the proximal descending aorta,,Q1163923
acromioclavicular ligament,肩鎖靭帯,anatomical structure,解剖学的構造,Ligament of the shoulder girdle,,Q4676185
Hemoglobin A2,ヘモグロビンA2,anatomical structure,解剖学的構造,variant of hemoglobin A,,Q426738
suspensory muscle of duodenum,十二指腸提筋,anatomical structure,解剖学的構造,"a thin muscle connecting the junction between the duodenum, jejunum, and duodenojejunal flexure to connective tissue surrounding the superior mesenteric artery and coeliac artery",,Q3867498
perithecium,子嚢殻,anatomical structure,解剖学的構造,type of fungal reproductive structure,,Q1778021
dog meat,犬肉,anatomical structure,解剖学的構造,meat from dogs used as food,,Q826031
respiratory epithelium,呼吸上皮,anatomical structure,解剖学的構造,mucosa which serves to moisten and protect the airways,,Q1428754
penis,陰茎,anatomical structure,解剖学的構造,primary sexual organ of male animals,人間の男性や動物のオスの交接器・泌尿器・陰部,Q58
metatarsus,中足,anatomical structure,解剖学的構造,body region,,Q59626633
crystalline style,晶桿体,anatomical structure,解剖学的構造,rod made of glycoprotein located in the midgut of most bivalves and some gastropods,,Q15015192
bundle branch,脚,anatomical structure,解剖学的構造,offshoots of the bundle of His in the heart's ventricle,,Q18379371
Stroma of ovary,卵巣支質,anatomical structure,解剖学的構造,"soft tissue, well supplied with blood, consisting of spindle-shaped cells with a small amount of connective tissue",,Q17119505
trochanter,転節,anatomical structure,解剖学的構造,second segment in the leg of an insect,昆虫の脚における2番目の節,Q21856391
Parotoid gland,耳腺,anatomical structure,解剖学的構造,poisonous gland present in some amphibians,,Q977796
trapezius muscle,僧帽筋,anatomical structure,解剖学的構造,muscle between the lower spine and the shoulder blade,,Q204113
peppercorn,胡椒,anatomical structure,解剖学的構造,spice,コショウの果実から作られる香辛料,Q3143131
posterior tibiofibular ligament,後脛腓靭帯,anatomical structure,解剖学的構造,Ligament of the ankle,,Q7234253
suya,スヤ,anatomical structure,解剖学的構造,snack of skewered meat popular in Nigeria and Cameroon originating from the Hausa people,ナイジェリアの料理,Q7650627
protoplast,プロトプラスト,anatomical structure,解剖学的構造,"entire biological cell, excluding the cell wall",,Q1126500
clamp connection,クランプ接続,anatomical structure,解剖学的構造,fungal structure,,Q2033410
human penis,人間の陰茎,anatomical structure,解剖学的構造,human male external reproductive organ,,Q8124
red banana,レッドバナナ,anatomical structure,解剖学的構造,varieties of banana with reddish-purple skin,,Q2427471
trigger point,圧痛点,anatomical structure,解剖学的構造,discrete spot in taut bands of muscle that produce local and referred pain when muscle bands are compressed,,Q741032
buffalo meat,水牛肉,anatomical structure,解剖学的構造,flesh from Bubalus bubalis,,Q23808610
myomere,筋節,anatomical structure,解剖学的構造,blocks of skeletal muscle tissue,,Q1956686
Uropygial gland,尾腺,anatomical structure,解剖学的構造,gland,,Q1021740
reflex inguinal ligament,反転靭帯,anatomical structure,解剖学的構造,Ligament of the abdomen,,Q7307353
quince,マルメロ,anatomical structure,解剖学的構造,"fruit of the quince plant (Cydonia, Pseudocydonia)",マルメロの果実,Q2751465
Cecina de León,チェチーナ・デ・レオン,anatomical structure,解剖学的構造,Smoked and dried beef from Spain,,Q5759904
medlar,メドラー,anatomical structure,解剖学的構造,fruit of the plant Mespilus Germanica (for the species use Q146186),セイヨウカリンの果実,Q3092517
stratified squamous epithelium,重層扁平上皮,anatomical structure,解剖学的構造,tissue type,,Q1978278
aorta,大動脈,anatomical structure,解剖学的構造,largest artery in the body,,Q101004
ciliary muscle,毛様体筋,anatomical structure,解剖学的構造,eye muscle used for focusing,,Q239972
tectorial membrane of cervical vertebral column,環軸関節の蓋膜,anatomical structure,解剖学的構造,ligament in the spinal canal in the head joint area,,Q7692862
Tamarindus indica,タマリンド,anatomical structure,解剖学的構造,Edible leguminous fruit from the tamarind tree,,Q2391283
cucumber,キュウリ,anatomical structure,解剖学的構造,fruit used as vegetable,野菜、キュウリの果実,Q2735883
jujube,ナツメ,anatomical structure,解剖学的構造,fruit of Ziziphus jujuba,ナツメの果実,Q3093648
hare meat,野ウサギ肉,anatomical structure,解剖学的構造,flesh from hares,,Q55557452
olive branch,オリーブの枝,anatomical structure,解剖学的構造,"branch made of leaves of the olive tree, typically used as symbol of peace or victory",,Q138550
epigastrium,みぞおち,anatomical structure,解剖学的構造,upper central region of the abdomen,,Q942777
sea urchin as food,ウニの食用,anatomical structure,解剖学的構造,flesh from sea urchins,,Q104673184
cone,球果,anatomical structure,解剖学的構造,seed-bearing organ on gymnosperm plants,裸子植物の針葉樹類がもつ生殖器官,Q22710
collagen,コラーゲン,anatomical structure,解剖学的構造,group of fibrous proteins that occur in vertebrates as the chief constituent of connective tissue fibrils and in bones and yield gelatin and glue upon boiling with water,タンパク質,Q26868
bark,樹皮,anatomical structure,解剖学的構造,"plant tissue outside the vascular cambium or the xylem; in older trees may be divided into dead outer bark and living inner bark, which consists of secondary phloem. external parenchymal tissue, located just below the epidermis of the stem",樹木の幹や枝の最外層を覆う死んだ細胞からなる組織、または維管束形成層より外側にあるすべての組織,Q184453
corpora quadrigemina,四丘体,anatomical structure,解剖学的構造,part of the brain,,Q891887
universal veil,ユニバーサル・ベール,anatomical structure,解剖学的構造,Temporary membraneous tissue,,Q2500891
vasomotor center,血管運動中枢,anatomical structure,解剖学的構造,neural systems which act on vascular smooth muscle to control blood vessel diameter.,,Q3664916
myelencephalon,髄脳,anatomical structure,解剖学的構造,posterior region of the embryonic hindbrain,,Q2456825
Murcott,マーコット,anatomical structure,解剖学的構造,tangor (mandarin–sweet orange hybrid),ミカン科の常緑低木、柑橘類の一種,Q11341734
thagomizer,サゴマイザー,anatomical structure,解剖学的構造,spiked structure on the tails of dinosaurs of the family Stegosauridae,,Q846958
interlobar artery of kidney,腎葉間動脈,anatomical structure,解剖学的構造,blood vessels,,Q2784806
spikelet,小穂,anatomical structure,解剖学的構造,"reproductive shoot system that is the ultimate and congested inflorescence, especially in grasses, a racemose unit consisting of one or a few closely-packed florets born along a rachilla and subtended by two glumes",,Q149316
Banpeiyu,晩白柚,anatomical structure,解剖学的構造,Japanese citrus fruit,柑橘類の一つで、ザボンの一品種,Q19829504
adductor minimus muscle,小内転筋,anatomical structure,解剖学的構造,small and flat skeletal muscle in the thigh,,Q4681420
endocardial cushion,心内膜床,anatomical structure,解剖学的構造,specialized region of mesenchymal cells that will give rise to the heart septa and valves,,Q2879939
floor plate,底板,anatomical structure,解剖学的構造,embryonic structure,,Q3391691
embryonic tissue,胚組織,anatomical structure,解剖学的構造,type of tissue,,Q39720754
coconut,ココナッツ,anatomical structure,解剖学的構造,fruit of Cocos nucifera,ココヤシの果実,Q3342808
medial pterygoid muscle,内側翼突筋,anatomical structure,解剖学的構造,muscle involved in chewing,,Q643928
açai berry,アサイベリー,anatomical structure,解剖学的構造,fruits of various palms of the genus Assai,アサイーの果実,Q10420475
coco plum,ココプラム,anatomical structure,解剖学的構造,Fruit of Chrysobalanus icaco,ココプラムの果実,Q3147574
external intercostal muscles,外肋間筋,anatomical structure,解剖学的構造,muscle between ribs,,Q834781
conidium,分生子,anatomical structure,解剖学的構造,"asexual, non-motile spore of a fungus",,Q612960
Kiyomi,清見,anatomical structure,解剖学的構造,Japanese citrus fruit,柑橘類の一種、温州ミカンとトロビタオレンジを交配した品種,Q6419032
vertical muscle of tongue,垂直舌筋,anatomical structure,解剖学的構造,intrinsic muscle of the tongue,,Q266980
square watermelon,四角スイカ,anatomical structure,解剖学的構造,watermelon grown in the shape of a cube,,Q10328349
lateral nasal cartilage,側鼻軟骨,anatomical structure,解剖学的構造,,,Q6495642
musculus caudofemoralis,尾大体筋,anatomical structure,解剖学的構造,tail muscle in many tailed animals,,Q5054402
thyroid cartilage,甲状軟骨,anatomical structure,解剖学的構造,largest of the nine cartilages that make up the laryngeal skeleton,,Q171093
Palm kernel,パーム核,anatomical structure,解剖学的構造,edible seed of the oil palm tree,,Q7128104
incisor,切歯,anatomical structure,解剖学的構造,teeth at the front of the mouth,前歯を構成する歯,Q273543
telencephalon,終脳,anatomical structure,解剖学的構造,embryonic structure from which cerebrum develops prenatally,,Q10937390
corrugator supercilii muscle,皺眉筋,anatomical structure,解剖学的構造,muscle,,Q545030
muscle of upper limb,上肢の筋肉,anatomical structure,解剖学的構造,,,Q66505017
cerebral vesicle,脳胞,anatomical structure,解剖学的構造,bulge-like features of the early neural tube during embryonic brain development,,Q4299613
heel,かかと,anatomical structure,解剖学的構造,part of the foot in the back,,Q174647
cervix,子宮頸部,anatomical structure,解剖学的構造,lower part of the uterus in the human female reproductive system,,Q666412
protoplasm,原形質,anatomical structure,解剖学的構造,part of cell,,Q111180
hip,股関節部,anatomical structure,解剖学的構造,anatomical region,,Q193818
